Kunta,Maakunta,Ei tietoa saatavilla,Oppilaita kunnassa,Oppilaita väistötiloissa 2018,Osuus 2018,"Oppilaita väistötiloissa 2019, arvio","Osuus 2019, arvio"
Karijoki,Etelä-Pohjanmaa,FALSE,45,0,"0,000",0,"0,000"
Karkkila,Uusimaa,FALSE,975,0,"0,000",0,"0,000"
Karstula,Keski-Suomi,FALSE,407,151,"0,371",247,"0,607"
Karvia,Satakunta,FALSE,195,0,"0,000",0,"0,000"
Kaskinen,Pohjanmaa,FALSE,60,0,"0,000",0,"0,000"
Kauhajoki,Etelä-Pohjanmaa,FALSE,1394,0,"0,000",15,"0,011"
Kauhava,Etelä-Pohjanmaa,FALSE,1813,140,"0,077",140,"0,077"
Kauniainen,Uusimaa,FALSE,1473,0,"0,000",0,"0,000"
Kaustinen,Keski-Pohjanmaa,FALSE,507,0,"0,000",0,"0,000"
Keitele,Pohjois-Savo,FALSE,191,0,"0,000",0,"0,000"
Kemi,Lappi,FALSE,1948,308,"0,158",308,"0,158"
Kemijärvi,Lappi,FALSE,477,124,"0,260",124,"0,260"
Keminmaa,Lappi,FALSE,902,0,"0,000",0,"0,000"
Kemiönsaari,Varsinais-Suomi,FALSE,595,0,"0,000",0,"0,000"
Kempele,Pohjois-Pohjanmaa,TRUE,,,,,
Kerava,Uusimaa,FALSE,3618,150,"0,041",150,"0,041"
Keuruu,Keski-Suomi,FALSE,945,0,"0,000",0,"0,000"
Kihniö,Pirkanmaa,FALSE,170,0,"0,000",0,"0,000"
Kinnula,Keski-Suomi,TRUE,,,,,
Kirkkonummi,Uusimaa,FALSE,5278,609,"0,115",1250,"0,237"
Kitee,Pohjois-Karjala,FALSE,820,0,"0,000",0,"0,000"
Kittilä,Lappi,FALSE,618,0,"0,000",0,"0,000"
Kiuruvesi,Pohjois-Savo,FALSE,802,0,"0,000",0,"0,000"
Kivijärvi,Keski-Suomi,FALSE,84,0,"0,000",0,"0,000"
Kokemäki,Satakunta,FALSE,734,0,"0,000",0,"0,000"
Kokkola,Keski-Pohjanmaa,FALSE,5559,295,"0,053",295,"0,053"
Kolari,Lappi,FALSE,396,18,"0,045",18,"0,045"
Konnevesi,Keski-Suomi,FALSE,289,0,"0,000",0,"0,000"
Kontiolahti,Pohjois-Karjala,FALSE,2039,228,"0,112",228,"0,112"
Korsnäs,Pohjanmaa,FALSE,133,0,"0,000",0,"0,000"
Koski Tl,Varsinais-Suomi,FALSE,288,0,"0,000",0,"0,000"
Kotka,Kymenlaakso,FALSE,4666,1497,"0,321",1497,"0,321"
Kouvola,Kymenlaakso,FALSE,7454,376,"0,050",376,"0,050"
Kristiinankaupunki,Pohjanmaa,FALSE,551,28,"0,051",28,"0,051"
Kruunupyy,Pohjanmaa,FALSE,695,0,"0,000",0,"0,000"
Kuhmo,Kainuu,FALSE,675,0,"0,000",0,"0,000"
Kuhmoinen,Keski-Suomi,TRUE,,,,,
Kuopio,Pohjois-Savo,FALSE,10603,76,"0,007",76,"0,007"
Kuortane,Etelä-Pohjanmaa,FALSE,402,0,"0,000",0,"0,000"
Kurikka,Etelä-Pohjanmaa,FALSE,2122,0,"0,000",0,"0,000"
